序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,166.469,20302.74,112.03,-11.92%,48.60%,2.793,42.73%,32.42
2,2026-04-20,167.400,27696.93,115.72,-12.09%,44.66%,2.793,59.22%,33.49
3,2026-04-17,161.059,10618.64,110.37,-10.77%,45.93%,2.793,23.45%,31.94
4,2026-04-16,160.599,3425.15,108.78,-10.67%,47.64%,2.793,7.63%,31.48
5,2026-04-15,159.800,6667.30,107.12,-10.49%,49.18%,2.793,14.90%,31.00
6,2026-04-14,160.800,13462.10,106.98,-10.69%,50.31%,2.793,29.94%,30.96
7,2026-04-13,164.000,78546.25,107.05,-11.33%,53.20%,2.793,173.06%,30.98
8,2026-04-10,153.710,24538.09,101.94,-9.13%,50.79%,2.793,56.05%,29.50
9,2026-04-09,152.979,1587.87,97.13,-8.96%,57.50%,2.793,3.70%,28.11
10,2026-04-08,155.350,6201.87,98.83,-9.47%,57.20%,2.793,14.30%,28.60
11,2026-04-07,151.950,1561.34,95.82,-8.72%,58.58%,2.793,3.67%,27.73
12,2026-04-03,152.500,2223.90,96.79,-8.81%,57.56%,2.793,5.21%,28.01
13,2026-04-02,154.500,3479.19,100.35,-9.24%,53.97%,2.793,8.08%,29.04
14,2026-04-01,159.599,2106.46,103.59,-10.31%,54.06%,2.793,4.72%,29.98
15,2026-03-31,157.100,2319.79,103.01,-9.77%,52.52%,2.793,5.27%,29.81
16,2026-03-30,160.010,2864.36,104.46,-10.37%,53.18%,2.793,6.35%,30.23
17,2026-03-27,164.000,6264.81,105.98,-11.15%,54.75%,2.793,13.29%,30.67
18,2026-03-26,170.700,6017.65,106.60,-12.44%,60.13%,2.793,12.50%,30.85
19,2026-03-25,172.920,10701.97,108.09,-12.84%,59.98%,2.793,22.24%,31.28
20,2026-03-24,169.800,29612.85,103.63,-12.24%,63.86%,2.793,63.88%,29.99
21,2026-03-23,159.150,3437.97,98.69,-10.13%,61.27%,2.793,7.70%,28.56
22,2026-03-20,162.124,6787.83,102.97,-10.70%,57.45%,2.793,14.84%,29.80
23,2026-03-19,168.500,9100.84,105.74,-11.94%,59.36%,2.793,18.92%,30.60
24,2026-03-18,171.260,2804.26,110.12,-12.45%,55.52%,2.793,5.88%,31.87
25,2026-03-17,172.000,12338.17,111.99,-12.57%,53.58%,2.793,25.38%,32.41
26,2026-03-16,172.500,21314.84,111.06,-12.65%,55.33%,2.793,44.05%,32.14
27,2026-03-13,170.995,30517.78,107.12,-12.34%,59.63%,2.793,62.61%,31.00
28,2026-03-12,173.101,9982.01,107.53,-12.72%,60.98%,2.793,20.39%,31.12
29,2026-03-11,175.200,20077.51,113.20,-13.08%,54.77%,2.793,41.01%,32.76
30,2026-03-10,172.999,67172.22,112.13,-12.67%,54.29%,2.793,137.56%,32.45
