序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,147.958,11274.26,120.04,-8.16%,23.26%,11.585,6.52%,6.35
2,2026-03-19,149.581,14341.28,122.87,-8.49%,21.74%,11.585,8.25%,6.50
3,2026-03-18,156.270,9789.00,128.54,-9.84%,21.57%,11.585,5.50%,6.80
4,2026-03-17,153.902,8319.50,129.11,-9.36%,19.20%,11.585,4.58%,6.83
5,2026-03-16,160.216,11116.54,132.33,-10.58%,21.08%,11.585,6.05%,7.00
6,2026-03-13,162.312,8088.62,134.59,-10.94%,20.59%,11.585,4.26%,7.12
7,2026-03-12,166.999,10467.04,138.56,-11.79%,20.52%,11.585,5.39%,7.33
8,2026-03-11,169.222,5904.36,137.43,-12.17%,23.13%,11.585,2.99%,7.27
9,2026-03-10,171.500,14499.36,136.86,-12.55%,25.31%,11.585,7.37%,7.24
10,2026-03-09,168.000,11726.28,135.54,-11.93%,23.95%,11.585,6.06%,7.17
11,2026-03-06,173.332,4446.72,140.45,-12.65%,23.41%,11.585,2.20%,7.43
12,2026-03-05,175.664,14851.08,143.10,-13.04%,22.76%,11.585,7.23%,7.57
13,2026-03-04,173.724,13315.04,140.27,-12.70%,23.85%,11.585,6.66%,7.42
14,2026-03-03,170.287,11728.13,140.27,-12.10%,21.40%,11.585,5.87%,7.42
15,2026-03-02,177.251,6008.02,145.18,-13.27%,22.09%,11.585,2.92%,7.68
16,2026-02-27,177.219,7079.81,145.56,-13.23%,21.75%,11.585,3.44%,7.70
17,2026-02-26,178.266,5948.37,143.67,-13.39%,24.08%,11.585,2.85%,7.60
18,2026-02-25,182.000,6470.22,142.91,-13.97%,27.35%,11.585,3.03%,7.56
19,2026-02-24,182.597,4364.26,139.51,-14.06%,30.89%,11.585,2.06%,7.38
20,2026-02-13,178.875,6693.87,136.30,-13.34%,31.24%,11.585,3.21%,7.21
21,2026-02-12,182.884,8534.80,139.13,-13.96%,31.45%,11.585,3.97%,7.36
22,2026-02-11,182.793,4057.14,140.45,-13.93%,30.14%,11.585,1.91%,7.43
23,2026-02-10,179.700,5266.76,139.32,-13.43%,28.98%,11.585,2.51%,7.37
24,2026-02-09,182.850,5027.80,141.59,-13.92%,29.14%,11.585,2.38%,7.49
25,2026-02-06,179.109,10574.35,141.02,-13.30%,27.01%,11.585,5.15%,7.46
26,2026-02-05,174.416,11780.19,139.32,-12.52%,25.19%,11.585,5.86%,7.37
27,2026-02-04,178.043,12624.52,145.94,-13.10%,22.00%,11.585,6.12%,7.72
28,2026-02-03,177.607,23460.74,141.59,-13.02%,25.44%,11.585,11.66%,7.49
29,2026-02-02,169.900,22697.75,139.89,-11.73%,21.46%,11.585,11.32%,7.40
30,2026-01-30,180.667,13301.98,146.31,-13.46%,23.48%,11.585,6.33%,7.74
