序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,150.000,18765.03,130.14,-8.12%,15.26%,24.810,5.00%,9.50
2,2026-03-19,151.000,27924.21,132.06,-8.32%,14.35%,24.810,7.46%,9.64
3,2026-03-18,156.597,24167.41,135.62,-9.43%,15.47%,24.810,6.34%,9.90
4,2026-03-17,154.596,36928.40,137.26,-9.03%,12.63%,24.810,9.44%,10.02
5,2026-03-16,159.020,28853.90,137.26,-9.88%,15.85%,24.810,7.21%,10.02
6,2026-03-13,166.855,42992.04,141.37,-11.30%,18.03%,24.810,10.27%,10.32
7,2026-03-12,173.200,25322.80,142.88,-12.39%,21.22%,24.810,5.81%,10.43
8,2026-03-11,183.518,6679.05,146.03,-14.06%,25.67%,24.810,1.47%,10.66
9,2026-03-10,184.000,12285.17,146.16,-14.12%,25.89%,24.810,2.70%,10.67
10,2026-03-09,180.247,24730.02,143.01,-13.52%,26.03%,24.810,5.61%,10.44
11,2026-03-06,185.277,21576.16,151.10,-14.27%,22.62%,24.810,4.70%,11.03
12,2026-03-05,183.752,27977.43,150.69,-14.02%,21.94%,24.810,5.99%,11.00
13,2026-03-04,187.359,33955.38,149.86,-14.57%,25.02%,24.810,7.30%,10.94
14,2026-03-03,190.000,18322.07,153.01,-14.95%,24.17%,24.810,3.82%,11.17
15,2026-03-02,199.700,14527.59,159.73,-16.33%,25.03%,24.810,2.92%,11.66
16,2026-02-27,202.250,21827.35,163.56,-16.64%,23.65%,24.810,4.31%,11.94
17,2026-02-26,203.000,29107.52,162.74,-16.73%,24.74%,24.810,5.71%,11.88
18,2026-02-25,212.472,12968.41,163.56,-17.96%,29.90%,24.810,2.45%,11.94
19,2026-02-24,210.674,17349.78,161.78,-17.71%,30.22%,24.810,3.32%,11.81
20,2026-02-13,208.280,10743.23,156.71,-17.24%,32.91%,24.810,2.05%,11.44
21,2026-02-12,215.777,6559.88,161.10,-18.18%,33.94%,24.810,1.23%,11.76
22,2026-02-11,213.000,14830.18,162.33,-17.82%,31.22%,24.810,2.77%,11.85
23,2026-02-10,214.456,10307.56,161.92,-17.99%,32.45%,24.810,1.95%,11.82
24,2026-02-09,214.001,25014.62,161.37,-17.92%,32.62%,24.810,4.70%,11.78
25,2026-02-06,205.971,18978.84,157.26,-16.85%,30.97%,24.810,3.71%,11.48
26,2026-02-05,205.001,23961.13,160.00,-16.71%,28.13%,24.810,4.72%,11.68
27,2026-02-04,204.250,22646.83,160.00,-16.59%,27.66%,24.810,4.49%,11.68
28,2026-02-03,203.500,43593.98,158.22,-16.48%,28.62%,24.810,8.86%,11.55
29,2026-02-02,188.471,37451.90,149.45,-14.37%,26.11%,24.810,7.89%,10.91
30,2026-01-30,198.992,26579.72,156.03,-15.82%,27.54%,24.810,5.27%,11.39
