序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,199.459,22275.72,154.65,-15.41%,28.97%,5.996,18.38%,25.92
2,2026-05-20,202.117,13351.95,156.80,-15.76%,28.90%,5.996,11.02%,26.28
3,2026-05-19,203.068,22265.65,156.86,-15.88%,29.46%,5.996,19.00%,26.29
4,2026-05-18,192.461,24315.53,149.17,-14.38%,29.03%,5.996,20.78%,25.00
5,2026-05-15,193.000,42430.40,147.02,-14.43%,31.28%,5.996,36.61%,24.64
6,2026-05-14,196.000,163602.84,159.31,-14.84%,23.03%,5.996,131.36%,26.70
7,2026-05-13,195.030,27981.47,152.80,-14.69%,27.63%,5.996,22.55%,25.61
8,2026-05-12,207.050,13492.09,169.81,-16.31%,21.93%,5.996,10.84%,28.46
9,2026-05-11,212.005,10798.64,165.51,-16.94%,28.09%,5.996,8.45%,27.74
10,2026-05-08,214.106,14963.13,169.63,-17.16%,26.22%,5.996,11.64%,28.43
11,2026-05-07,214.400,29703.10,173.51,-17.18%,23.57%,5.996,23.63%,29.08
12,2026-05-06,203.548,21510.06,165.75,-15.77%,22.80%,5.996,18.06%,27.78
13,2026-04-30,196.001,17084.58,159.55,-14.67%,22.85%,5.996,14.46%,26.74
14,2026-04-29,200.699,19216.95,164.44,-15.31%,22.05%,5.996,15.94%,27.56
15,2026-04-28,201.698,21829.52,163.78,-15.43%,23.15%,5.996,17.87%,27.45
16,2026-04-27,207.877,41435.35,168.44,-16.22%,23.42%,5.996,33.21%,28.23
17,2026-04-24,210.523,211394.70,172.49,-16.52%,22.05%,5.996,168.19%,28.91
18,2026-04-23,194.000,27739.01,156.80,-14.31%,23.72%,5.996,23.62%,26.28
19,2026-04-22,199.100,120812.43,158.35,-15.00%,25.73%,5.996,100.19%,26.54
20,2026-04-21,195.408,71644.83,159.19,-14.49%,22.75%,5.996,61.72%,26.68
21,2026-04-20,162.840,33770.06,156.38,-9.38%,4.13%,5.996,34.62%,26.21
22,2026-04-17,164.610,66338.02,153.82,-9.67%,7.02%,5.996,67.10%,25.78
23,2026-04-16,156.701,26803.18,146.06,-8.24%,7.28%,5.996,29.03%,24.48
24,2026-04-15,149.483,10692.35,139.32,-6.85%,7.29%,5.996,11.93%,23.35
25,2026-04-14,147.742,18737.35,139.92,-6.50%,5.59%,5.996,21.43%,23.45
26,2026-04-13,149.554,25523.60,146.96,-6.85%,1.77%,5.996,28.55%,24.63
27,2026-04-10,147.210,13885.62,139.08,-6.37%,5.84%,5.996,15.38%,23.31
28,2026-04-09,152.390,17846.41,140.81,-7.38%,8.22%,5.996,19.48%,23.60
29,2026-04-08,155.800,23223.30,141.17,-8.02%,10.36%,5.996,25.24%,23.66
30,2026-04-07,145.961,15458.26,134.61,-6.10%,8.44%,5.997,17.60%,22.56
