序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,130.200,9077.91,101.80,-4.40%,27.90%,89.589,0.78%,11.87
2,2026-02-12,130.609,12082.07,104.29,-4.48%,25.24%,89.589,1.03%,12.16
3,2026-02-11,130.150,13467.73,105.06,-4.38%,23.88%,89.589,1.15%,12.25
4,2026-02-10,130.500,11739.10,107.03,-4.45%,21.93%,89.589,1.00%,12.48
5,2026-02-09,132.191,42106.21,109.01,-4.81%,21.27%,89.589,3.56%,12.71
6,2026-02-06,130.898,33452.94,105.23,-4.52%,24.39%,89.589,2.86%,12.27
7,2026-02-05,129.600,32230.18,103.52,-4.24%,25.20%,89.589,2.79%,12.07
8,2026-02-04,130.947,47948.08,111.66,-4.53%,17.27%,89.589,4.12%,13.02
9,2026-02-03,128.940,51624.23,104.55,-4.09%,23.33%,89.589,4.47%,12.19
10,2026-02-02,126.940,40677.77,96.31,-3.64%,31.80%,89.589,3.62%,11.23
11,2026-01-30,127.550,26458.87,97.00,-3.77%,31.50%,89.589,2.33%,11.31
12,2026-01-29,128.590,25609.46,102.49,-4.00%,25.47%,89.589,2.20%,11.95
13,2026-01-28,129.600,15419.27,101.89,-4.21%,27.20%,89.589,1.33%,11.88
14,2026-01-27,130.000,25184.64,105.23,-4.30%,23.54%,89.589,2.18%,12.27
15,2026-01-26,129.050,42506.18,101.80,-4.09%,26.77%,89.589,3.67%,11.87
16,2026-01-23,130.001,90367.03,106.43,-4.28%,22.14%,89.589,7.75%,12.41
17,2026-01-22,127.143,29929.02,97.77,-3.66%,30.04%,89.589,2.62%,11.40
18,2026-01-21,125.320,28585.87,93.05,-3.25%,34.68%,89.589,2.55%,10.85
19,2026-01-20,125.170,21918.90,93.83,-3.21%,33.41%,89.589,1.94%,10.94
20,2026-01-19,126.899,25935.59,99.57,-3.59%,27.45%,89.589,2.29%,11.61
21,2026-01-16,127.027,24430.46,99.49,-3.61%,27.68%,89.589,2.14%,11.60
22,2026-01-15,127.310,29518.25,98.97,-3.67%,28.63%,89.589,2.60%,11.54
23,2026-01-14,127.628,35894.90,100.34,-3.74%,27.19%,89.589,3.11%,11.70
24,2026-01-13,128.001,34625.31,100.09,-3.82%,27.89%,89.589,3.01%,11.67
25,2026-01-12,131.000,37018.76,104.46,-4.46%,25.41%,89.589,3.15%,12.18
26,2026-01-09,129.889,34835.39,101.03,-4.21%,28.57%,89.589,3.00%,11.78
27,2026-01-08,130.000,43419.84,103.77,-4.23%,25.27%,89.589,3.73%,12.10
28,2026-01-07,129.950,16696.47,101.80,-4.22%,27.65%,89.591,1.44%,11.87
29,2026-01-06,129.601,23943.78,102.06,-4.14%,26.99%,89.591,2.06%,11.90
30,2026-01-05,128.861,16642.72,99.57,-3.98%,29.42%,89.591,1.45%,11.61
