序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,136.939,1869.16,88.31,-4.16%,55.06%,4.616,2.93%,22.52
2,2026-01-19,139.280,2960.97,92.39,-4.62%,50.75%,4.616,4.61%,23.56
3,2026-01-16,139.900,5031.12,92.51,-4.73%,51.23%,4.616,7.82%,23.59
4,2026-01-15,137.054,2954.94,92.59,-4.16%,48.03%,4.616,4.67%,23.61
5,2026-01-14,137.658,4145.29,92.00,-4.28%,49.63%,4.616,6.49%,23.46
6,2026-01-13,137.000,1978.30,94.39,-4.15%,45.14%,4.616,3.09%,24.07
7,2026-01-12,140.889,4103.61,97.73,-4.91%,44.17%,4.616,6.36%,24.92
8,2026-01-09,138.000,2916.98,94.59,-4.33%,45.90%,4.616,4.59%,24.12
9,2026-01-08,137.948,2400.65,96.39,-4.32%,43.11%,4.616,3.76%,24.58
10,2026-01-07,138.475,3702.31,96.90,-4.42%,42.90%,4.616,5.77%,24.71
11,2026-01-06,137.700,3986.01,94.12,-4.26%,46.31%,4.616,6.30%,24.00
12,2026-01-05,135.787,2556.38,93.22,-3.88%,45.67%,4.616,4.08%,23.77
13,2025-12-31,135.091,3222.25,92.55,-3.72%,45.97%,4.616,5.17%,23.60
14,2025-12-30,135.750,8816.01,95.06,-3.85%,42.81%,4.616,14.19%,24.24
15,2025-12-29,132.052,6836.22,90.55,-3.09%,45.83%,4.616,11.21%,23.09
16,2025-12-26,132.027,3231.16,90.39,-3.08%,46.06%,4.616,5.30%,23.05
17,2025-12-25,131.780,2985.78,89.92,-3.02%,46.55%,4.616,4.91%,22.93
18,2025-12-24,130.700,3692.20,87.88,-2.79%,48.72%,4.616,6.13%,22.41
19,2025-12-23,130.876,5778.88,87.61,-2.83%,49.39%,4.616,9.57%,22.34
20,2025-12-22,129.801,1442.56,85.18,-2.60%,52.39%,4.616,2.42%,21.72
21,2025-12-19,128.300,958.06,82.31,-2.27%,55.87%,4.616,1.62%,20.99
22,2025-12-18,128.541,1212.29,82.51,-2.32%,55.79%,4.616,2.04%,21.04
23,2025-12-17,128.606,1818.95,83.77,-2.33%,53.53%,4.616,3.08%,21.36
24,2025-12-16,127.456,1227.16,81.53,-2.08%,56.33%,4.616,2.08%,20.79
25,2025-12-15,128.445,1982.61,83.37,-2.30%,54.06%,4.616,3.34%,21.26
26,2025-12-12,129.248,1381.63,85.33,-2.46%,51.46%,4.616,2.32%,21.76
27,2025-12-11,128.046,1487.23,81.29,-2.20%,57.51%,4.616,2.51%,20.73
28,2025-12-10,128.405,1967.06,81.33,-2.28%,57.88%,4.616,3.33%,20.74
29,2025-12-09,127.341,1813.07,80.00,-2.05%,59.18%,4.616,3.08%,20.40
30,2025-12-08,128.300,2522.78,80.59,-2.25%,59.20%,4.616,4.27%,20.55
