序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,131.071,1513.17,80.30,-3.00%,63.24%,2.425,4.76%,8.15
2,2026-04-20,131.300,1776.33,79.80,-3.05%,64.53%,2.425,5.58%,8.10
3,2026-04-17,131.268,2335.80,79.70,-3.03%,64.69%,2.425,7.36%,8.09
4,2026-04-16,131.096,2372.06,81.08,-3.00%,61.68%,2.425,7.48%,8.23
5,2026-04-15,130.290,3165.10,80.30,-2.82%,62.26%,2.425,10.01%,8.15
6,2026-04-14,130.780,7576.31,80.39,-2.92%,62.67%,2.425,23.85%,8.16
7,2026-04-13,132.465,6589.92,81.48,-3.28%,62.58%,2.425,20.46%,8.27
8,2026-04-10,132.337,11954.31,79.41,-3.25%,66.65%,2.425,37.05%,8.06
9,2026-04-09,132.992,6148.85,78.13,-3.38%,70.22%,2.425,19.17%,7.93
10,2026-04-08,132.890,15463.51,81.97,-3.36%,62.12%,2.425,48.59%,8.32
11,2026-04-07,134.123,0.00,86.31,-3.61%,55.41%,2.425,0.00%,8.76
12,2026-04-03,134.123,1652.98,86.31,-3.60%,55.41%,2.425,5.09%,8.76
13,2026-04-02,134.159,2806.38,88.77,-3.61%,51.13%,2.425,8.61%,9.01
14,2026-04-01,136.650,1451.12,90.84,-4.11%,50.43%,2.425,4.41%,9.22
15,2026-03-31,134.262,904.22,90.64,-3.62%,48.13%,2.425,2.76%,9.20
16,2026-03-30,135.192,1260.75,91.33,-3.81%,48.03%,2.425,3.84%,9.27
17,2026-03-27,136.349,2029.44,91.33,-4.04%,49.29%,2.425,6.16%,9.27
18,2026-03-26,135.062,2250.53,90.25,-3.77%,49.66%,2.425,6.85%,9.16
19,2026-03-25,137.490,2051.35,91.53,-4.26%,50.22%,2.425,6.14%,9.29
20,2026-03-24,136.000,3248.19,90.94,-3.96%,49.56%,2.425,10.02%,9.23
21,2026-03-23,131.671,2481.45,84.53,-3.06%,55.76%,2.425,7.74%,8.58
22,2026-03-20,134.000,2309.48,90.15,-3.54%,48.64%,2.425,7.07%,9.15
23,2026-03-19,135.518,999.62,93.10,-3.84%,45.56%,2.425,3.03%,9.45
24,2026-03-18,138.467,1140.42,96.45,-4.43%,43.56%,2.425,3.43%,9.79
25,2026-03-17,135.998,1645.40,94.58,-3.93%,43.79%,2.425,4.94%,9.60
26,2026-03-16,138.300,2287.73,97.64,-4.39%,41.65%,2.425,6.88%,9.91
27,2026-03-13,138.356,1279.90,97.54,-4.39%,41.85%,2.425,3.79%,9.90
28,2026-03-12,139.550,1500.12,97.44,-4.62%,43.22%,2.425,4.41%,9.89
29,2026-03-11,140.852,782.63,99.11,-4.86%,42.11%,2.425,2.29%,10.06
30,2026-03-10,141.516,1410.88,99.90,-4.99%,41.66%,2.425,4.12%,10.14
