序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,147.000,197684.81,115.90,-5.35%,26.83%,3.011,447.22%,12.10
2,2026-01-19,139.650,4061.63,105.36,-4.02%,32.54%,3.011,9.71%,11.00
3,2026-01-16,138.000,3999.64,102.49,-3.70%,34.65%,3.011,9.64%,10.70
4,2026-01-15,137.500,3815.80,103.54,-3.60%,32.79%,3.011,9.23%,10.81
5,2026-01-14,137.803,6535.53,103.74,-3.66%,32.84%,3.011,15.71%,10.83
6,2026-01-13,137.580,4771.83,104.02,-3.61%,32.26%,3.011,11.44%,10.86
7,2026-01-12,139.103,4812.55,104.02,-3.90%,33.72%,3.011,11.50%,10.86
8,2026-01-09,138.080,3989.58,103.54,-3.70%,33.35%,3.011,9.60%,10.81
9,2026-01-08,137.734,3481.04,103.16,-3.63%,33.51%,3.011,8.40%,10.77
10,2026-01-07,137.167,3879.84,101.15,-3.52%,35.61%,3.011,9.36%,10.56
11,2026-01-06,137.649,4971.31,102.87,-3.61%,33.80%,3.011,11.98%,10.74
12,2026-01-05,136.650,4330.15,102.87,-3.42%,32.83%,3.011,10.51%,10.74
13,2025-12-31,135.854,3137.72,102.40,-3.25%,32.68%,3.011,7.69%,10.69
14,2025-12-30,135.202,3316.49,102.30,-3.13%,32.16%,3.011,8.14%,10.68
15,2025-12-29,134.984,2585.43,103.26,-3.08%,30.73%,3.011,6.37%,10.78
16,2025-12-26,135.400,3100.55,102.78,-3.16%,31.74%,3.011,7.59%,10.73
17,2025-12-25,136.200,5148.79,103.64,-3.31%,31.42%,3.011,12.60%,10.82
18,2025-12-24,134.960,3504.19,102.97,-3.07%,31.07%,3.011,8.65%,10.75
19,2025-12-23,133.950,3341.46,101.72,-2.87%,31.68%,3.011,8.30%,10.62
20,2025-12-22,134.329,3760.11,102.11,-2.94%,31.56%,3.011,9.29%,10.66
21,2025-12-19,134.182,5464.98,102.59,-2.91%,30.80%,3.011,13.57%,10.71
22,2025-12-18,132.890,4067.35,100.10,-2.65%,32.76%,3.011,10.19%,10.45
23,2025-12-17,131.572,5542.38,97.80,-2.40%,34.54%,3.011,14.07%,10.21
24,2025-12-16,130.224,4177.52,97.70,-2.13%,33.29%,3.011,10.63%,10.20
25,2025-12-15,131.635,5698.99,100.38,-2.40%,31.13%,3.011,14.40%,10.48
26,2025-12-12,131.600,6171.73,99.23,-2.39%,32.62%,3.011,15.54%,10.36
27,2025-12-11,132.023,6659.18,100.67,-2.47%,31.14%,3.011,16.68%,10.51
28,2025-12-10,134.251,3786.56,104.50,-2.90%,28.47%,3.011,9.37%,10.91
29,2025-12-09,134.878,3796.41,106.80,-3.02%,26.29%,3.011,9.34%,11.15
30,2025-12-08,136.188,3450.84,107.95,-3.26%,26.16%,3.011,8.43%,11.27
