序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,145.594,1905.49,110.03,-5.63%,32.32%,6.927,1.89%,9.98
2,2026-04-20,145.715,2608.15,110.58,-5.65%,31.77%,6.927,2.58%,10.03
3,2026-04-17,145.591,3522.83,109.92,-5.62%,32.45%,6.927,3.49%,9.97
4,2026-04-16,145.592,2797.90,110.81,-5.61%,31.39%,6.927,2.79%,10.05
5,2026-04-15,144.098,4718.64,111.58,-5.33%,29.15%,6.927,4.71%,10.12
6,2026-04-14,145.000,3618.28,112.02,-5.49%,29.44%,6.927,3.66%,10.16
7,2026-04-13,142.945,3089.11,110.58,-5.10%,29.26%,6.927,3.11%,10.03
8,2026-04-10,143.317,4916.43,109.59,-5.16%,30.77%,6.927,4.91%,9.94
9,2026-04-09,142.750,3292.52,107.50,-5.04%,32.79%,6.927,3.33%,9.75
10,2026-04-08,143.725,9481.06,108.71,-5.23%,32.21%,6.927,9.60%,9.86
11,2026-04-07,138.350,4024.33,104.74,-4.18%,32.09%,6.927,4.19%,9.50
12,2026-04-03,137.621,3772.21,103.64,-4.02%,32.79%,6.927,3.95%,9.40
13,2026-04-02,137.881,4929.06,106.95,-4.07%,28.93%,6.927,5.15%,9.70
14,2026-04-01,140.506,6925.02,110.70,-4.58%,26.93%,6.927,7.15%,10.04
15,2026-03-31,136.316,8051.55,107.72,-3.75%,26.55%,6.927,8.45%,9.77
16,2026-03-30,136.100,5528.81,106.62,-3.70%,27.66%,6.927,5.85%,9.67
17,2026-03-27,137.114,3491.83,104.52,-3.90%,31.18%,6.927,3.68%,9.48
18,2026-03-26,136.366,3802.12,103.31,-3.74%,32.00%,6.927,4.01%,9.37
19,2026-03-25,138.489,5448.75,105.18,-4.16%,31.67%,6.927,5.70%,9.54
20,2026-03-24,137.328,9825.85,102.65,-3.93%,33.79%,6.927,10.52%,9.31
21,2026-03-23,134.000,12126.50,101.21,-3.25%,32.39%,6.927,13.08%,9.18
22,2026-03-20,137.890,5064.05,109.26,-4.03%,26.20%,6.927,5.27%,9.91
23,2026-03-19,139.900,4355.86,112.68,-4.42%,24.16%,6.927,4.48%,10.22
24,2026-03-18,143.003,5176.39,117.31,-5.01%,21.90%,6.927,5.28%,10.64
25,2026-03-17,140.144,4168.33,116.32,-4.46%,20.48%,6.927,4.23%,10.55
26,2026-03-16,142.681,5045.20,117.42,-4.94%,21.51%,6.927,5.16%,10.65
27,2026-03-13,141.505,4992.37,115.99,-4.71%,22.00%,6.927,5.06%,10.52
28,2026-03-12,142.749,5636.91,116.76,-4.94%,22.26%,6.927,5.66%,10.59
29,2026-03-11,145.666,3220.26,119.74,-5.47%,21.66%,6.927,3.17%,10.86
30,2026-03-10,147.103,5222.78,120.51,-5.73%,22.07%,6.927,5.13%,10.93
