序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,237.999,66968.59,207.46,-17.96%,14.72%,2.917,94.47%,27.53
2,2026-04-20,242.440,50670.61,208.74,-18.38%,16.14%,2.917,71.03%,27.70
3,2026-04-17,243.681,66169.77,213.64,-18.46%,14.06%,2.917,91.82%,28.35
4,2026-04-16,253.875,160661.67,218.09,-19.41%,16.41%,2.917,220.28%,28.94
5,2026-04-15,260.300,293813.58,223.81,-19.97%,16.30%,2.917,403.70%,29.70
6,2026-04-14,231.004,74214.31,203.47,-17.16%,13.53%,2.917,109.43%,27.00
7,2026-04-13,235.532,348828.67,209.12,-17.61%,12.63%,2.917,492.68%,27.75
8,2026-04-10,231.983,249132.97,199.55,-17.21%,16.25%,2.917,367.04%,26.48
9,2026-04-09,213.659,48490.95,181.39,-15.23%,17.79%,2.917,78.00%,24.07
10,2026-04-08,223.000,48408.54,184.40,-16.25%,20.93%,2.917,76.22%,24.47
11,2026-04-07,204.854,38398.34,180.86,-14.18%,13.27%,2.917,63.05%,24.00
12,2026-04-03,210.398,66068.50,182.22,-14.79%,15.47%,2.917,108.62%,24.18
13,2026-04-02,205.836,56368.72,187.94,-14.24%,9.52%,2.917,92.08%,24.94
14,2026-04-01,212.210,112103.31,198.12,-14.98%,7.11%,2.917,175.43%,26.29
15,2026-03-31,230.565,213876.09,209.95,-16.95%,9.82%,2.917,307.55%,27.86
16,2026-03-30,240.000,334591.11,204.22,-17.88%,17.52%,2.917,498.95%,27.10
17,2026-03-27,212.000,110347.71,185.68,-14.90%,14.17%,2.918,177.91%,24.64
18,2026-03-26,205.134,169247.55,184.63,-14.09%,11.11%,2.918,280.14%,24.50
19,2026-03-25,200.500,136154.32,175.36,-13.52%,14.34%,2.918,236.89%,23.27
20,2026-03-24,187.300,85333.82,167.30,-11.83%,11.96%,2.918,159.93%,22.20
21,2026-03-23,174.544,56744.01,154.94,-10.04%,12.66%,2.918,108.96%,20.56
22,2026-03-20,173.200,38960.93,152.98,-9.82%,13.22%,2.918,75.69%,20.30
23,2026-03-19,172.960,99586.96,154.11,-9.78%,12.23%,2.918,192.80%,20.45
24,2026-03-18,172.640,38897.87,148.08,-9.73%,16.59%,2.919,78.38%,19.65
25,2026-03-17,166.700,16014.49,137.98,-8.82%,20.81%,2.919,32.40%,18.31
26,2026-03-16,169.400,12357.86,137.53,-9.23%,23.17%,2.919,25.33%,18.25
27,2026-03-13,167.700,17195.56,138.66,-8.95%,20.94%,2.919,34.65%,18.40
28,2026-03-12,171.505,31491.27,142.13,-9.52%,20.67%,2.919,60.70%,18.86
29,2026-03-11,182.400,75579.43,147.85,-11.06%,23.37%,2.919,144.35%,19.62
30,2026-03-10,171.944,34809.36,140.54,-9.57%,22.34%,2.919,69.92%,18.65
