序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,124.662,1253.50,56.74,-1.86%,119.71%,4.693,2.14%,23.83
2,2026-01-19,125.099,1286.42,58.00,-1.95%,115.69%,4.693,2.20%,24.36
3,2026-01-16,124.500,2709.02,57.57,-1.82%,116.25%,4.693,4.65%,24.18
4,2026-01-15,122.970,2484.31,56.24,-1.50%,118.66%,4.693,4.31%,23.62
5,2026-01-14,123.200,1617.49,56.81,-1.55%,116.87%,4.693,2.79%,23.86
6,2026-01-13,123.108,2518.08,57.26,-1.53%,114.99%,4.693,4.35%,24.05
7,2026-01-12,124.469,2142.74,58.33,-1.81%,113.38%,4.693,3.67%,24.50
8,2026-01-09,124.097,2189.88,57.14,-1.73%,117.17%,4.693,3.77%,24.00
9,2026-01-08,124.003,1097.60,57.79,-1.71%,114.59%,4.693,1.89%,24.27
10,2026-01-07,123.150,1358.35,55.98,-1.53%,120.00%,4.693,2.35%,23.51
11,2026-01-06,123.000,891.32,56.48,-1.50%,117.79%,4.693,1.55%,23.72
12,2026-01-05,122.197,2050.62,56.10,-1.33%,117.84%,4.693,3.58%,23.56
13,2025-12-31,120.900,769.59,57.33,-1.05%,110.87%,4.693,1.36%,24.08
14,2025-12-30,120.005,492.61,56.91,-0.86%,110.89%,4.693,0.87%,23.90
15,2025-12-29,120.297,784.82,57.93,-0.92%,107.66%,4.693,1.39%,24.33
16,2025-12-26,120.801,2145.87,57.71,-1.03%,109.31%,4.693,3.76%,24.24
17,2025-12-25,120.955,1500.09,57.00,-1.06%,112.20%,4.693,2.64%,23.94
18,2025-12-24,120.800,958.58,56.67,-1.02%,113.18%,4.693,1.69%,23.80
19,2025-12-23,120.151,1335.91,56.12,-0.89%,114.10%,4.693,2.37%,23.57
20,2025-12-22,119.978,878.45,56.62,-0.85%,111.90%,4.693,1.56%,23.78
21,2025-12-19,119.706,801.60,56.74,-0.79%,110.98%,4.693,1.43%,23.83
22,2025-12-18,119.417,1202.98,56.31,-0.73%,112.07%,4.693,2.15%,23.65
23,2025-12-17,118.617,923.77,55.71,-0.55%,112.90%,4.693,1.66%,23.40
24,2025-12-16,118.153,1123.91,55.00,-0.45%,114.82%,4.693,2.02%,23.10
25,2025-12-15,119.000,867.19,56.21,-0.63%,111.69%,4.693,1.55%,23.61
26,2025-12-12,119.396,533.72,56.17,-0.72%,112.57%,4.693,0.95%,23.59
27,2025-12-11,119.687,909.61,55.62,-0.78%,115.19%,4.693,1.61%,23.36
28,2025-12-10,120.667,1007.66,57.02,-0.99%,111.61%,4.693,1.78%,23.95
29,2025-12-09,120.634,1636.26,57.50,-0.98%,109.80%,4.693,2.90%,24.15
30,2025-12-08,120.237,2582.93,58.14,-0.89%,106.80%,4.693,4.59%,24.42
