序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,136.300,5442.07,94.70,-3.58%,43.92%,4.541,8.77%,14.66
2,2026-04-20,136.139,6104.89,94.51,-3.55%,44.05%,4.541,9.84%,14.63
3,2026-04-17,137.180,6643.24,94.90,-3.74%,44.56%,4.541,10.68%,14.69
4,2026-04-16,135.389,4198.32,93.67,-3.39%,44.54%,4.541,6.85%,14.50
5,2026-04-15,134.760,3903.99,92.44,-3.26%,45.78%,4.541,6.38%,14.31
6,2026-04-14,134.452,3136.10,92.89,-3.19%,44.74%,4.541,5.17%,14.38
7,2026-04-13,133.010,3534.68,92.38,-2.90%,43.99%,4.541,5.85%,14.30
8,2026-04-10,133.926,3942.10,92.89,-3.08%,44.17%,4.541,6.43%,14.38
9,2026-04-09,134.300,8504.80,92.77,-3.15%,44.77%,4.541,13.91%,14.36
10,2026-04-08,136.200,5197.10,94.90,-3.53%,43.52%,4.541,8.46%,14.69
11,2026-04-07,132.660,3743.51,93.09,-2.82%,42.51%,4.541,6.21%,14.41
12,2026-04-03,131.780,4881.62,91.47,-2.63%,44.06%,4.541,8.15%,14.16
13,2026-04-02,131.759,5150.85,94.38,-2.62%,39.61%,4.541,8.61%,14.61
14,2026-04-01,132.496,5771.61,94.38,-2.77%,40.39%,4.541,9.66%,14.61
15,2026-03-31,129.517,5382.09,91.86,-2.16%,40.99%,4.541,9.09%,14.22
16,2026-03-30,129.800,4548.44,92.89,-2.21%,39.73%,4.541,7.68%,14.38
17,2026-03-27,131.660,3467.62,93.22,-2.59%,41.24%,4.541,5.80%,14.43
18,2026-03-26,130.885,3623.12,92.12,-2.43%,42.08%,4.541,6.07%,14.26
19,2026-03-25,133.008,6605.31,93.99,-2.86%,41.51%,4.541,10.93%,14.55
20,2026-03-24,131.401,5962.16,91.21,-2.53%,44.06%,4.541,10.09%,14.12
21,2026-03-23,128.518,6429.64,89.86,-1.93%,43.02%,4.541,11.01%,13.91
22,2026-03-20,130.416,4354.67,93.80,-2.32%,39.04%,4.541,7.30%,14.52
23,2026-03-19,131.650,3819.12,96.38,-2.57%,36.59%,4.541,6.36%,14.92
24,2026-03-18,134.190,4683.89,99.10,-3.08%,35.41%,4.541,7.75%,15.34
25,2026-03-17,132.929,3561.98,98.84,-2.83%,34.49%,4.541,5.86%,15.30
26,2026-03-16,135.505,4621.04,100.90,-3.33%,34.29%,4.541,7.57%,15.62
27,2026-03-13,134.602,4077.08,100.07,-3.15%,34.52%,4.541,6.63%,15.49
28,2026-03-12,136.013,3652.05,100.78,-3.42%,34.97%,4.541,5.88%,15.60
29,2026-03-11,137.197,3718.42,100.52,-3.65%,36.49%,4.541,5.96%,15.56
30,2026-03-10,137.922,5487.55,101.87,-3.78%,35.39%,4.541,8.76%,15.77
