序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,127.219,2432.59,78.28,-3.56%,62.52%,9.951,1.91%,8.00
2,2026-05-20,128.473,3130.87,80.04,-3.82%,60.51%,9.951,2.45%,8.18
3,2026-05-19,129.300,3203.45,82.58,-3.99%,56.57%,9.951,2.50%,8.44
4,2026-05-18,128.064,4281.20,81.70,-3.73%,56.74%,9.951,3.35%,8.35
5,2026-05-15,128.500,4713.78,83.17,-3.81%,54.50%,9.951,3.68%,8.50
6,2026-05-14,129.440,3946.17,84.05,-4.01%,54.00%,9.951,3.05%,8.59
7,2026-05-13,131.165,3279.45,85.23,-4.36%,53.90%,9.951,2.51%,8.71
8,2026-05-12,131.180,4714.71,85.32,-4.36%,53.75%,9.951,3.60%,8.72
9,2026-05-11,132.649,3975.94,86.11,-4.66%,54.05%,9.951,3.02%,8.80
10,2026-05-08,131.521,4551.70,85.91,-4.42%,53.09%,9.951,3.46%,8.78
11,2026-05-07,132.253,9234.68,86.50,-4.56%,52.90%,9.951,7.00%,8.84
12,2026-05-06,131.300,7842.23,84.44,-4.37%,55.49%,9.951,6.03%,8.63
13,2026-04-30,129.475,4216.30,81.90,-3.97%,58.09%,9.951,3.27%,8.37
14,2026-04-29,129.319,4612.99,81.61,-3.94%,58.47%,9.951,3.59%,8.34
15,2026-04-28,127.937,4660.51,79.94,-3.65%,60.04%,9.951,3.65%,8.17
16,2026-04-27,128.113,2292.55,77.79,-3.68%,64.69%,9.951,1.80%,7.95
17,2026-04-24,128.124,1701.45,78.28,-3.68%,63.68%,9.951,1.33%,8.00
18,2026-04-23,128.401,2595.33,79.16,-3.73%,62.21%,9.951,2.03%,8.09
19,2026-04-22,128.713,3141.58,79.26,-3.79%,62.40%,9.951,2.45%,8.10
20,2026-04-21,128.365,2640.95,80.14,-3.72%,60.18%,9.951,2.06%,8.19
21,2026-04-20,128.668,3040.87,79.55,-3.78%,61.75%,9.951,2.37%,8.13
22,2026-04-17,129.000,3214.87,79.94,-3.84%,61.37%,9.951,2.51%,8.17
23,2026-04-16,128.863,3650.53,80.24,-3.81%,60.61%,9.951,2.85%,8.20
24,2026-04-15,128.000,3457.77,80.14,-3.63%,59.73%,9.951,2.71%,8.19
25,2026-04-14,128.093,2652.79,80.43,-3.64%,59.26%,9.951,2.10%,8.22
26,2026-04-13,126.946,3131.31,79.75,-3.40%,59.19%,9.951,2.47%,8.15
27,2026-04-10,127.682,6804.02,80.72,-3.55%,58.17%,9.951,5.32%,8.25
28,2026-04-09,128.699,4954.06,81.21,-3.75%,58.47%,9.951,3.87%,8.30
29,2026-04-08,128.993,7738.63,82.88,-3.81%,55.64%,9.951,6.05%,8.47
30,2026-04-07,126.419,4722.47,81.31,-3.28%,55.48%,9.951,3.75%,8.31
