序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,153.100,1745.22,104.24,-6.34%,46.88%,5.823,1.96%,20.91
2,2026-04-20,153.290,2157.08,104.29,-6.37%,46.99%,5.823,2.41%,20.92
3,2026-04-17,154.000,2959.42,104.09,-6.47%,47.95%,5.823,3.31%,20.88
4,2026-04-16,154.700,6066.33,105.38,-6.58%,46.80%,5.823,6.79%,21.14
5,2026-04-15,150.305,4015.39,104.14,-5.85%,44.33%,5.823,4.56%,20.89
6,2026-04-14,149.890,2309.11,104.64,-5.77%,43.25%,5.823,2.66%,20.99
7,2026-04-13,148.390,2138.76,104.09,-5.51%,42.56%,5.823,2.48%,20.88
8,2026-04-10,149.161,3636.70,105.58,-5.63%,41.27%,5.823,4.16%,21.18
9,2026-04-09,148.747,2550.51,103.09,-5.56%,44.29%,5.823,2.93%,20.68
10,2026-04-08,151.019,8869.29,105.48,-5.94%,43.17%,5.823,10.17%,21.16
11,2026-04-07,144.819,1740.24,101.45,-4.87%,42.76%,5.823,2.06%,20.35
12,2026-04-03,144.080,2062.28,101.20,-4.73%,42.38%,5.823,2.45%,20.30
13,2026-04-02,143.797,2932.79,102.84,-4.67%,39.82%,5.823,3.48%,20.63
14,2026-04-01,147.195,6264.53,105.58,-5.26%,39.41%,5.823,7.40%,21.18
15,2026-03-31,141.600,7183.81,101.50,-4.27%,39.51%,5.823,8.65%,20.36
16,2026-03-30,141.900,5252.96,101.84,-4.33%,39.33%,5.823,6.34%,20.43
17,2026-03-27,144.250,6269.87,102.29,-4.73%,41.02%,5.823,7.48%,20.52
18,2026-03-26,143.249,4929.67,101.00,-4.55%,41.83%,5.823,5.86%,20.26
19,2026-03-25,148.116,5884.74,103.59,-5.39%,42.98%,5.823,6.86%,20.78
20,2026-03-24,145.596,6379.08,102.14,-4.96%,42.54%,5.823,7.63%,20.49
21,2026-03-23,142.280,7703.17,100.60,-4.37%,41.43%,5.823,9.21%,20.18
22,2026-03-20,146.200,4765.13,106.23,-5.05%,37.62%,5.823,5.50%,21.31
23,2026-03-19,149.010,3006.63,111.96,-5.52%,33.09%,5.823,3.44%,22.46
24,2026-03-18,153.400,5323.37,115.65,-6.24%,32.64%,5.823,6.01%,23.20
25,2026-03-17,150.297,3810.51,115.90,-5.73%,29.68%,5.823,4.31%,23.25
26,2026-03-16,152.590,5293.07,115.06,-6.10%,32.62%,5.823,5.97%,23.08
27,2026-03-13,154.742,4949.47,115.01,-6.43%,34.55%,5.823,5.45%,23.07
28,2026-03-12,157.600,2329.27,115.06,-6.87%,36.98%,5.823,2.51%,23.08
29,2026-03-11,162.399,3399.33,116.15,-7.60%,39.82%,5.823,3.60%,23.30
30,2026-03-10,160.559,2707.53,116.40,-7.32%,37.94%,5.823,2.90%,23.35
