序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,143.000,59987.97,127.07,-4.85%,12.54%,7.540,55.13%,7.37
2,2026-05-20,143.575,55428.04,115.52,-4.95%,24.29%,7.540,50.97%,6.70
3,2026-05-19,139.088,7639.67,105.00,-4.12%,32.46%,7.540,7.32%,6.09
4,2026-05-18,136.294,7043.62,101.55,-3.58%,34.21%,7.540,6.84%,5.89
5,2026-05-15,137.540,7454.07,105.17,-3.82%,30.78%,7.540,7.15%,6.10
6,2026-05-14,137.758,5721.12,103.79,-3.85%,32.72%,7.540,5.47%,6.02
7,2026-05-13,139.772,6297.19,106.21,-4.23%,31.60%,7.540,5.96%,6.16
8,2026-05-12,139.727,4874.92,104.48,-4.22%,33.73%,7.540,4.60%,6.06
9,2026-05-11,141.902,4843.28,106.90,-4.62%,32.75%,7.540,4.52%,6.20
10,2026-05-08,142.819,5617.45,109.83,-4.78%,30.04%,7.540,5.23%,6.37
11,2026-05-07,142.600,5432.83,110.69,-4.73%,28.83%,7.540,5.03%,6.42
12,2026-05-06,143.300,9488.08,111.55,-4.85%,28.46%,7.540,8.84%,6.47
13,2026-04-30,140.818,10311.78,107.59,-4.38%,30.89%,7.540,9.68%,6.24
14,2026-04-29,141.001,14906.76,109.83,-4.41%,28.38%,7.540,14.02%,6.37
15,2026-04-28,139.020,6321.46,105.00,-4.05%,32.40%,7.540,5.99%,6.09
16,2026-04-27,140.238,20956.23,106.90,-4.27%,31.19%,7.540,19.86%,6.20
17,2026-04-24,137.989,4630.13,100.69,-3.84%,37.04%,7.540,4.48%,5.84
18,2026-04-23,137.431,6504.23,99.83,-3.73%,37.67%,7.540,6.27%,5.79
19,2026-04-22,137.886,6216.44,99.83,-3.82%,38.12%,7.540,5.98%,5.79
20,2026-04-21,136.835,5198.87,98.79,-3.62%,38.51%,7.540,5.05%,5.73
21,2026-04-20,137.135,4302.05,98.62,-3.67%,39.05%,7.540,4.15%,5.72
22,2026-04-17,137.501,5566.71,97.93,-3.73%,40.41%,7.540,5.38%,5.68
23,2026-04-16,137.928,5727.35,100.69,-3.81%,36.98%,7.540,5.53%,5.84
24,2026-04-15,135.883,7200.23,99.66,-3.42%,36.35%,7.540,7.03%,5.78
25,2026-04-14,136.101,5357.49,101.03,-3.46%,34.71%,7.540,5.25%,5.86
26,2026-04-13,135.230,6585.46,101.55,-3.29%,33.16%,7.540,6.42%,5.89
27,2026-04-10,136.562,6576.94,101.90,-3.54%,34.02%,7.540,6.36%,5.91
28,2026-04-09,137.702,11144.88,104.31,-3.75%,32.01%,7.540,10.71%,6.05
29,2026-04-08,138.894,30398.35,107.24,-3.96%,29.52%,7.540,29.36%,6.22
30,2026-04-07,138.499,39393.81,103.79,-3.89%,33.44%,7.540,38.27%,6.02
