序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,176.900,47516.17,138.91,-8.30%,27.35%,4.867,53.12%,14.03
2,2026-05-20,177.126,12650.88,140.89,-8.32%,25.72%,4.867,14.65%,14.23
3,2026-05-19,178.500,12186.46,139.80,-8.46%,27.68%,4.867,14.27%,14.12
4,2026-05-18,175.400,12493.19,141.09,-8.14%,24.32%,4.867,14.48%,14.25
5,2026-05-15,179.718,15253.53,142.18,-8.57%,26.40%,4.867,17.31%,14.36
6,2026-05-14,182.301,11011.71,143.66,-8.82%,26.89%,4.867,12.35%,14.51
7,2026-05-13,186.450,11653.83,148.22,-9.22%,25.79%,4.867,12.97%,14.97
8,2026-05-12,185.200,13304.52,148.71,-9.10%,24.54%,4.867,14.92%,15.02
9,2026-05-11,187.500,21762.53,151.19,-9.32%,24.02%,4.867,23.99%,15.27
10,2026-05-08,189.400,74992.85,151.19,-9.48%,25.27%,4.867,80.68%,15.27
11,2026-05-07,182.000,30909.21,154.46,-8.76%,17.83%,4.867,35.07%,15.60
12,2026-05-06,175.000,41831.09,154.46,-8.04%,13.30%,4.867,49.73%,15.60
13,2026-04-30,166.300,55261.11,151.19,-7.09%,10.00%,4.867,68.43%,15.27
14,2026-04-29,161.780,181507.41,148.71,-6.58%,8.79%,4.867,228.52%,15.02
15,2026-04-28,148.781,29097.91,140.20,-5.01%,6.12%,4.867,39.90%,14.16
16,2026-04-27,158.550,7629.90,140.59,-6.20%,12.77%,4.867,9.87%,14.20
17,2026-04-24,160.270,10567.63,140.50,-6.39%,14.08%,4.867,13.58%,14.19
18,2026-04-23,158.799,6585.16,137.82,-6.21%,15.22%,4.867,8.49%,13.92
19,2026-04-22,160.850,7583.18,141.09,-6.45%,14.01%,4.867,9.61%,14.25
20,2026-04-21,160.304,5045.67,140.40,-6.38%,14.18%,4.867,6.48%,14.18
21,2026-04-20,161.170,6457.35,140.50,-6.48%,14.72%,4.867,8.21%,14.19
22,2026-04-17,160.260,10421.44,140.30,-6.36%,14.23%,4.867,13.25%,14.17
23,2026-04-16,161.541,37123.55,141.49,-6.50%,14.18%,4.867,47.89%,14.29
24,2026-04-15,153.201,13088.56,133.47,-5.52%,14.79%,4.867,17.42%,13.48
25,2026-04-14,156.583,12012.42,137.13,-5.93%,14.19%,4.867,15.88%,13.85
26,2026-04-13,154.500,13376.34,134.36,-5.68%,14.99%,4.867,17.79%,13.57
27,2026-04-10,155.200,16706.43,131.88,-5.75%,17.68%,4.867,21.90%,13.32
28,2026-04-09,156.555,10261.18,129.21,-5.91%,21.17%,4.867,13.46%,13.05
29,2026-04-08,159.073,16150.54,130.99,-6.20%,21.44%,4.867,21.14%,13.23
30,2026-04-07,151.333,10242.98,127.03,-5.28%,19.13%,4.867,13.88%,12.83
