序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,147.092,3352.19,104.36,-5.28%,40.95%,48.995,0.47%,3.83
2,2026-02-12,146.572,3676.79,105.72,-5.21%,38.64%,48.995,0.51%,3.88
3,2026-02-11,146.100,2592.86,106.00,-5.15%,37.84%,48.995,0.36%,3.89
4,2026-02-10,146.000,8772.15,106.27,-5.14%,37.39%,48.995,1.23%,3.90
5,2026-02-09,146.647,5145.90,106.81,-5.22%,37.29%,48.995,0.72%,3.92
6,2026-02-06,144.857,5208.85,106.81,-4.99%,35.62%,48.995,0.73%,3.92
7,2026-02-05,144.636,5804.03,106.81,-4.96%,35.41%,48.995,0.82%,3.92
8,2026-02-04,145.865,12057.34,106.81,-5.11%,36.56%,48.995,1.70%,3.92
9,2026-02-03,143.010,10674.11,104.63,-4.75%,36.68%,48.995,1.53%,3.84
10,2026-02-02,139.874,18080.79,105.45,-4.36%,32.65%,48.995,2.61%,3.87
11,2026-01-30,144.205,8203.67,104.91,-4.89%,37.46%,48.996,1.16%,3.85
12,2026-01-29,145.000,5523.01,104.91,-4.99%,38.22%,48.996,0.78%,3.85
13,2026-01-28,144.978,15620.00,105.18,-4.98%,37.84%,48.996,2.21%,3.86
14,2026-01-27,142.699,9370.02,104.63,-4.70%,36.38%,48.996,1.34%,3.84
15,2026-01-26,142.800,15873.00,106.27,-4.71%,34.38%,48.996,2.26%,3.90
16,2026-01-23,144.120,18992.96,105.72,-4.87%,36.32%,48.996,2.69%,3.88
17,2026-01-22,144.047,16930.30,106.54,-4.85%,35.21%,48.996,2.39%,3.91
18,2026-01-21,144.400,14241.91,105.72,-4.89%,36.58%,48.996,2.01%,3.88
19,2026-01-20,145.864,9130.94,107.36,-5.07%,35.87%,48.996,1.28%,3.94
20,2026-01-19,144.970,12719.41,105.72,-4.96%,37.12%,48.996,1.78%,3.88
21,2026-01-16,144.654,6495.33,104.91,-4.91%,37.89%,48.997,0.92%,3.85
22,2026-01-15,143.590,17322.34,104.36,-4.78%,37.59%,48.998,2.46%,3.83
23,2026-01-14,144.990,10055.33,104.91,-4.95%,38.21%,49.000,1.40%,3.85
24,2026-01-13,146.890,13415.22,105.72,-5.18%,38.94%,49.000,1.86%,3.88
25,2026-01-12,146.501,6714.93,106.81,-5.13%,37.16%,49.000,0.94%,3.92
26,2026-01-09,145.754,10645.90,106.27,-5.03%,37.16%,49.000,1.49%,3.90
27,2026-01-08,147.000,15171.63,107.08,-5.18%,37.27%,49.000,2.12%,3.93
28,2026-01-07,143.435,12641.98,104.91,-4.74%,36.73%,49.000,1.80%,3.85
29,2026-01-06,141.136,12919.67,104.09,-4.46%,35.59%,49.000,1.88%,3.82
30,2026-01-05,139.848,7410.59,102.73,-4.29%,36.14%,49.000,1.08%,3.77
