序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,135.467,2917.21,91.17,-3.25%,48.59%,12.924,1.65%,17.86
2,2026-03-19,136.981,3791.75,94.23,-3.45%,45.37%,12.924,2.13%,18.46
3,2026-03-18,139.229,4898.64,97.30,-3.74%,43.10%,12.924,2.74%,19.06
4,2026-03-17,138.293,7936.37,98.67,-3.61%,40.15%,12.924,4.37%,19.33
5,2026-03-16,140.659,8456.72,100.77,-3.92%,39.59%,12.924,4.62%,19.74
6,2026-03-13,140.502,7153.42,96.73,-3.89%,45.25%,12.924,3.93%,18.95
7,2026-03-12,140.512,3106.20,95.20,-3.89%,47.59%,12.924,1.70%,18.65
8,2026-03-11,142.940,4776.14,95.56,-4.19%,49.58%,12.924,2.59%,18.72
9,2026-03-10,142.100,3672.21,94.69,-4.09%,50.07%,12.924,2.00%,18.55
10,2026-03-09,141.560,3993.51,92.50,-4.02%,53.04%,12.924,2.19%,18.12
11,2026-03-06,142.479,4368.98,95.25,-4.12%,49.58%,12.924,2.37%,18.66
12,2026-03-05,141.900,5708.36,92.39,-4.05%,53.58%,12.924,3.10%,18.10
13,2026-03-04,142.590,4442.86,93.36,-4.13%,52.72%,12.924,2.40%,18.29
14,2026-03-03,144.000,8994.70,97.35,-4.31%,47.93%,12.924,4.77%,19.07
15,2026-03-02,148.522,6977.09,98.72,-4.85%,50.44%,12.924,3.64%,19.34
16,2026-02-27,149.650,3334.54,99.95,-4.97%,49.73%,12.924,1.72%,19.58
17,2026-02-26,150.880,3990.13,100.00,-5.12%,50.88%,12.924,2.03%,19.59
18,2026-02-25,151.000,7461.43,98.21,-5.13%,53.75%,12.924,3.82%,19.24
19,2026-02-24,153.355,983.79,96.48,-5.39%,58.95%,12.924,0.50%,18.90
20,2026-02-13,153.036,1248.04,95.20,-5.33%,60.75%,12.924,0.63%,18.65
21,2026-02-12,153.200,2777.69,96.38,-5.35%,58.96%,12.924,1.41%,18.88
22,2026-02-11,152.252,3366.78,97.60,-5.24%,55.99%,12.924,1.72%,19.12
23,2026-02-10,150.300,2612.45,97.14,-5.01%,54.72%,12.924,1.35%,19.03
24,2026-02-09,150.600,4172.17,97.55,-5.04%,54.38%,12.924,2.16%,19.11
25,2026-02-06,149.299,5021.93,97.04,-4.88%,53.85%,12.924,2.62%,19.01
26,2026-02-05,147.000,8250.25,96.99,-4.61%,51.56%,12.924,4.32%,19.00
27,2026-02-04,145.885,3091.92,95.97,-4.48%,52.02%,12.924,1.62%,18.80
28,2026-02-03,147.000,6365.54,95.51,-4.61%,53.91%,12.924,3.39%,18.71
29,2026-02-02,142.800,6181.21,93.82,-4.10%,52.20%,12.924,3.31%,18.38
30,2026-01-30,148.400,3714.90,97.09,-4.76%,52.85%,12.924,1.92%,19.02
