序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,117.700,4772.03,75.57,-17.00%,55.75%,6.520,6.25%,10.58
2,2026-01-19,116.832,3994.37,75.71,-15.50%,54.31%,6.520,5.24%,10.60
3,2026-01-16,117.303,2424.14,75.50,-15.99%,55.37%,6.520,3.16%,10.57
4,2026-01-15,117.280,2089.45,76.79,-15.87%,52.74%,6.520,2.74%,10.75
5,2026-01-14,117.757,4305.21,77.50,-16.53%,51.94%,6.520,5.59%,10.85
6,2026-01-13,117.586,3727.87,78.07,-16.17%,50.61%,6.520,4.84%,10.93
7,2026-01-12,118.253,10673.57,79.50,-17.11%,48.75%,6.520,13.82%,11.13
8,2026-01-09,117.868,5493.62,79.71,-16.25%,47.86%,6.520,7.17%,11.16
9,2026-01-08,116.497,3968.16,77.64,-14.09%,50.04%,6.520,5.23%,10.87
10,2026-01-07,115.860,3774.30,77.00,-13.03%,50.47%,6.520,4.98%,10.78
11,2026-01-06,117.154,4047.70,78.64,-14.93%,48.97%,6.520,5.28%,11.01
12,2026-01-05,117.831,3741.60,80.07,-15.86%,47.16%,6.520,4.87%,11.21
13,2025-12-31,118.000,4032.04,79.50,-15.70%,48.43%,6.520,5.25%,11.13
14,2025-12-30,117.080,12837.32,78.64,-14.30%,48.88%,6.520,16.75%,11.01
15,2025-12-29,121.125,1921.37,60.24,-19.88%,101.08%,6.520,2.43%,11.18
16,2025-12-26,122.020,2535.09,60.45,-20.76%,101.84%,6.520,3.19%,11.22
17,2025-12-25,121.989,1889.76,59.75,-20.62%,104.16%,6.520,2.38%,11.09
18,2025-12-24,121.100,1325.72,59.27,-19.36%,104.33%,6.520,1.68%,11.00
19,2025-12-23,120.988,1354.96,59.00,-19.12%,105.07%,6.520,1.72%,10.95
20,2025-12-22,121.717,1972.52,60.51,-19.97%,101.16%,6.520,2.48%,11.23
21,2025-12-19,122.650,1168.80,62.55,-20.86%,96.07%,6.520,1.47%,11.61
22,2025-12-18,121.750,681.20,63.04,-19.63%,93.14%,6.520,0.86%,11.70
23,2025-12-17,121.310,1305.26,63.04,-18.98%,92.44%,6.520,1.66%,11.70
24,2025-12-16,120.527,2398.98,63.04,-17.90%,91.19%,6.520,3.05%,11.70
25,2025-12-15,121.004,3055.31,63.63,-18.42%,90.16%,6.520,3.87%,11.81
26,2025-12-12,121.336,9751.77,65.03,-18.57%,86.58%,6.520,12.33%,12.07
27,2025-12-11,119.720,4710.55,65.52,-16.47%,82.73%,6.520,6.02%,12.16
28,2025-12-10,119.550,2125.30,65.30,-16.18%,83.07%,6.520,2.73%,12.12
29,2025-12-09,118.398,1896.43,65.36,-14.64%,81.16%,6.520,2.45%,12.13
30,2025-12-08,118.352,1502.11,62.66,-14.51%,88.87%,6.520,1.95%,11.63
