序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-20,108.226,1160.41,29.94,-3.99%,261.45%,2.246,4.77%,6.18
2,2026-01-19,108.781,1455.25,29.94,-4.94%,263.31%,2.246,5.97%,6.18
3,2026-01-16,108.600,979.45,29.70,-4.55%,265.66%,2.246,4.01%,6.13
4,2026-01-15,108.754,1171.61,30.09,-4.79%,261.46%,2.246,4.80%,6.21
5,2026-01-14,108.888,1478.76,30.52,-4.99%,256.74%,2.246,6.03%,6.30
6,2026-01-13,109.003,1939.37,30.62,-5.16%,255.98%,2.246,7.90%,6.32
7,2026-01-12,109.200,1750.49,30.38,-5.46%,259.47%,2.246,7.15%,6.27
8,2026-01-09,108.624,1299.19,29.94,-4.43%,262.78%,2.246,5.33%,6.18
9,2026-01-08,108.457,937.75,29.65,-4.14%,265.78%,2.246,3.85%,6.12
10,2026-01-07,108.404,1088.94,29.17,-4.03%,271.67%,2.246,4.47%,6.02
11,2026-01-06,108.341,1263.22,29.65,-3.91%,265.39%,2.246,5.20%,6.12
12,2026-01-05,108.197,2078.58,29.75,-3.65%,263.71%,2.246,8.55%,6.14
13,2025-12-31,107.792,638.34,28.78,-2.92%,274.55%,2.246,2.64%,5.94
14,2025-12-30,107.780,613.10,28.73,-2.88%,275.14%,2.246,2.54%,5.93
15,2025-12-29,107.439,474.60,28.88,-2.33%,272.07%,2.246,1.97%,5.96
16,2025-12-26,107.700,645.29,29.17,-2.71%,269.26%,2.246,2.67%,6.02
17,2025-12-25,108.000,1123.60,29.31,-3.16%,268.45%,2.246,4.64%,6.05
18,2025-12-24,107.555,590.96,29.31,-2.46%,266.93%,2.246,2.45%,6.05
19,2025-12-23,107.489,714.88,29.22,-2.34%,267.92%,2.246,2.96%,6.03
20,2025-12-22,107.531,741.76,29.70,-2.40%,262.06%,2.246,3.07%,6.13
21,2025-12-19,107.637,604.55,29.99,-2.52%,258.91%,2.246,2.50%,6.19
22,2025-12-18,107.800,865.23,29.70,-2.76%,262.97%,2.246,3.58%,6.13
23,2025-12-17,107.165,509.97,28.92,-1.79%,270.50%,2.246,2.12%,5.97
24,2025-12-16,107.034,974.43,28.97,-1.58%,269.43%,2.246,4.06%,5.98
25,2025-12-15,107.048,1362.04,29.17,-1.60%,267.02%,2.246,5.67%,6.02
26,2025-12-12,107.160,837.79,29.02,-1.74%,269.25%,2.246,3.48%,5.99
27,2025-12-11,107.149,686.16,29.60,-1.72%,261.96%,2.246,2.85%,6.11
28,2025-12-10,107.299,698.30,30.48,-1.93%,252.09%,2.246,2.90%,6.29
29,2025-12-09,107.226,578.70,31.01,-1.82%,245.80%,2.246,2.40%,6.40
30,2025-12-08,107.290,486.69,31.69,-1.90%,238.60%,2.246,2.02%,6.54
