序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-16,133.416,6228.21,112.93,-28.79%,18.14%,4.497,10.38%,16.25
2,2026-01-15,131.831,3366.13,109.17,-26.74%,20.75%,4.497,5.71%,15.71
3,2026-01-14,130.404,3954.29,106.46,-24.85%,22.49%,4.497,6.70%,15.32
4,2026-01-13,131.600,4883.22,107.85,-26.19%,22.02%,4.497,8.22%,15.52
5,2026-01-12,133.800,4247.24,110.29,-28.66%,21.32%,4.497,7.04%,15.87
6,2026-01-09,134.857,8056.81,111.61,-29.43%,20.83%,4.497,13.36%,16.06
7,2026-01-08,131.410,2650.31,108.41,-25.32%,21.22%,4.497,4.47%,15.60
8,2026-01-07,131.350,4408.67,107.51,-25.12%,22.18%,4.497,7.48%,15.47
9,2026-01-06,131.090,5310.94,107.44,-24.69%,22.02%,4.497,8.98%,15.46
10,2026-01-05,130.498,5971.73,108.76,-23.88%,19.99%,4.497,10.16%,15.65
11,2025-12-31,130.000,4635.92,108.06,-22.73%,20.30%,4.497,7.98%,15.55
12,2025-12-30,129.000,3202.64,105.70,-21.46%,22.05%,4.497,5.55%,15.21
13,2025-12-29,127.813,3963.22,104.93,-19.96%,21.80%,4.497,6.88%,15.10
14,2025-12-26,129.640,6472.75,107.37,-21.79%,20.75%,4.497,11.07%,15.45
15,2025-12-25,130.520,9129.06,107.71,-22.68%,21.17%,4.497,15.67%,15.50
16,2025-12-24,127.777,16175.79,102.02,-19.45%,25.25%,4.497,28.40%,14.68
17,2025-12-23,123.600,2460.81,94.86,-14.36%,30.30%,4.497,4.44%,13.65
18,2025-12-22,124.178,3411.79,95.55,-15.00%,29.96%,4.497,6.12%,13.75
19,2025-12-19,123.016,3562.63,94.72,-13.39%,29.88%,4.497,6.45%,13.63
20,2025-12-18,122.498,2198.96,92.63,-12.69%,32.24%,4.497,4.00%,13.33
21,2025-12-17,121.387,3056.69,89.72,-11.26%,35.30%,4.497,5.63%,12.91
22,2025-12-16,120.798,2961.47,89.44,-10.47%,35.06%,4.497,5.44%,12.87
23,2025-12-15,122.040,3195.34,92.15,-11.96%,32.44%,4.497,5.82%,13.26
24,2025-12-12,122.669,3729.16,92.29,-12.56%,32.92%,4.497,6.73%,13.28
25,2025-12-11,123.813,3165.49,94.72,-13.86%,30.72%,4.497,5.66%,13.63
26,2025-12-10,124.900,2638.51,96.66,-15.05%,29.21%,4.497,4.70%,13.91
27,2025-12-09,125.468,1642.80,96.60,-15.63%,29.89%,4.497,2.92%,13.90
28,2025-12-08,125.295,2185.99,97.01,-15.37%,29.15%,4.497,3.88%,13.96
29,2025-12-05,125.093,1876.93,96.60,-14.95%,29.50%,4.497,3.35%,13.90
30,2025-12-04,124.109,2791.46,95.83,-13.79%,29.51%,4.497,5.00%,13.79
