序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-01-16,123.720,58927.49,109.05,-11.97%,13.45%,8.037,58.45%,4.82
2,2026-01-15,123.982,64142.11,108.60,-12.24%,14.17%,8.037,63.88%,4.80
3,2026-01-14,121.500,7226.72,98.64,-9.00%,23.17%,8.037,7.41%,4.36
4,2026-01-13,120.330,4046.86,98.64,-7.42%,21.99%,8.037,4.17%,4.36
5,2026-01-12,121.251,3432.86,100.45,-8.59%,20.70%,8.037,3.53%,4.44
6,2026-01-09,120.766,3683.37,100.68,-7.85%,19.95%,8.037,3.81%,4.45
7,2026-01-08,119.779,4336.91,98.64,-6.53%,21.43%,8.037,4.49%,4.36
8,2026-01-07,120.123,4395.58,100.23,-6.95%,19.85%,8.037,4.55%,4.43
9,2026-01-06,119.800,3485.92,100.00,-6.50%,19.80%,8.037,3.63%,4.42
10,2026-01-05,118.749,2916.19,97.96,-5.10%,21.22%,8.037,3.06%,4.33
11,2025-12-31,118.300,2355.99,96.83,-4.41%,22.17%,8.037,2.48%,4.28
12,2025-12-30,117.888,5109.26,95.93,-3.85%,22.89%,8.037,5.39%,4.24
13,2025-12-29,117.555,2646.38,95.48,-3.41%,23.13%,8.037,2.80%,4.22
14,2025-12-26,118.149,2201.71,95.93,-4.12%,23.16%,8.037,2.31%,4.24
15,2025-12-25,118.750,2923.63,97.51,-4.86%,21.78%,8.037,3.08%,4.31
16,2025-12-24,117.977,2238.11,96.15,-3.87%,22.70%,8.037,2.37%,4.25
17,2025-12-23,117.690,2566.18,95.48,-3.49%,23.27%,8.037,2.71%,4.22
18,2025-12-22,118.639,3110.18,96.38,-4.67%,23.09%,8.037,3.27%,4.26
19,2025-12-19,118.630,3979.53,96.38,-4.60%,23.09%,8.037,4.18%,4.26
20,2025-12-18,117.749,2807.20,92.53,-3.49%,27.25%,8.037,2.97%,4.09
21,2025-12-17,116.980,2081.50,90.72,-2.52%,28.94%,8.037,2.22%,4.01
22,2025-12-16,116.500,3007.89,91.40,-1.91%,27.46%,8.037,3.21%,4.04
23,2025-12-15,117.191,2805.74,93.21,-2.76%,25.72%,8.037,2.98%,4.12
24,2025-12-12,117.080,2851.19,91.86,-2.59%,27.46%,8.037,3.02%,4.06
25,2025-12-11,117.625,3409.82,92.31,-3.25%,27.43%,8.037,3.59%,4.08
26,2025-12-10,118.296,3382.28,93.89,-4.04%,25.99%,8.037,3.56%,4.15
27,2025-12-09,117.912,2445.88,94.80,-3.56%,24.38%,8.037,2.58%,4.19
28,2025-12-08,118.570,2914.76,95.70,-4.33%,23.90%,8.037,3.06%,4.23
29,2025-12-05,118.540,4524.64,95.25,-4.24%,24.45%,8.037,4.77%,4.21
30,2025-12-04,117.676,3640.08,93.67,-3.22%,25.63%,8.037,3.84%,4.14
