序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-05-21,114.746,4430.40,102.42,-16.77%,12.03%,6.792,5.64%,5.50
2,2026-05-20,116.800,4565.97,105.59,-23.35%,10.62%,6.792,5.71%,5.67
3,2026-05-19,118.276,6723.45,106.70,-27.76%,10.85%,6.792,8.40%,5.73
4,2026-05-18,119.299,5323.30,108.19,-30.59%,10.26%,6.792,6.55%,5.81
5,2026-05-15,119.680,6820.43,108.19,-30.75%,10.62%,6.792,8.35%,5.81
6,2026-05-14,121.000,10276.91,109.50,-34.20%,10.51%,6.792,12.38%,5.88
7,2026-05-13,123.129,5506.36,109.13,-39.71%,12.83%,6.792,6.55%,5.86
8,2026-05-12,124.889,5189.97,108.94,-43.96%,14.64%,6.792,6.08%,5.85
9,2026-05-11,127.767,6302.70,111.55,-50.75%,14.54%,6.792,7.27%,5.99
10,2026-05-08,126.200,12356.84,111.36,-45.49%,13.33%,6.792,14.49%,5.98
11,2026-05-07,127.335,13027.70,113.41,-47.78%,12.28%,6.792,14.90%,6.09
12,2026-05-06,134.419,4755.19,121.60,-63.14%,10.54%,6.792,5.22%,6.53
13,2026-04-30,133.813,3771.21,122.53,-58.52%,9.21%,6.792,4.11%,6.58
14,2026-04-29,136.290,6631.92,124.58,-62.87%,9.40%,6.792,7.18%,6.69
15,2026-04-28,134.410,8969.02,124.40,-58.66%,8.05%,6.792,9.79%,6.68
16,2026-04-27,133.941,10154.96,122.53,-57.23%,9.31%,6.792,11.19%,6.58
17,2026-04-24,132.161,5880.91,114.90,-52.32%,15.03%,6.792,6.57%,6.17
18,2026-04-23,131.185,9690.67,114.15,-49.95%,14.92%,6.792,10.80%,6.13
19,2026-04-22,133.100,12091.85,115.08,-53.24%,15.65%,6.792,13.24%,6.18
20,2026-04-21,135.309,9716.37,120.48,-56.89%,12.30%,6.792,10.47%,6.47
21,2026-04-20,140.000,5435.94,121.97,-64.64%,14.78%,6.792,5.73%,6.55
22,2026-04-17,140.000,8741.95,124.21,-63.08%,12.71%,6.792,9.25%,6.67
23,2026-04-16,140.130,8712.22,127.00,-62.78%,10.34%,6.792,9.22%,6.82
24,2026-04-15,137.300,7550.95,126.63,-57.60%,8.43%,6.792,8.06%,6.80
25,2026-04-14,138.761,9122.95,128.68,-59.58%,7.84%,6.792,9.81%,6.91
26,2026-04-13,138.082,14191.59,130.73,-57.99%,5.63%,6.792,15.16%,7.02
27,2026-04-10,138.000,17463.77,130.54,-56.53%,5.71%,6.792,18.46%,7.01
28,2026-04-09,139.000,45793.21,128.49,-57.70%,8.18%,6.792,48.32%,6.90
29,2026-04-08,137.131,40005.11,122.53,-54.29%,11.91%,6.792,43.26%,6.58
30,2026-04-07,136.711,142494.78,123.28,-53.22%,10.90%,6.792,151.02%,6.62
