序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,125.225,8879.26,93.45,-21.97%,34.00%,15.726,4.49%,20.55
2,2026-03-19,126.799,6780.35,95.45,-23.82%,32.84%,15.726,3.40%,20.99
3,2026-03-18,129.358,5328.54,100.50,-26.78%,28.71%,15.726,2.64%,22.10
4,2026-03-17,128.300,6932.27,101.36,-25.40%,26.57%,15.726,3.39%,22.29
5,2026-03-16,131.653,8966.58,104.82,-29.14%,25.60%,15.726,4.38%,23.05
6,2026-03-13,131.638,5235.21,103.41,-28.71%,27.30%,15.726,2.50%,22.74
7,2026-03-12,134.144,12780.36,107.78,-31.29%,24.47%,15.726,6.07%,23.70
8,2026-03-11,132.755,5735.99,105.00,-29.65%,26.43%,15.726,2.72%,23.09
9,2026-03-10,134.820,3957.19,107.14,-31.70%,25.84%,15.726,1.87%,23.56
10,2026-03-09,134.000,7778.86,106.28,-30.69%,26.09%,15.726,3.72%,23.37
11,2026-03-06,134.691,5108.06,108.23,-30.98%,24.45%,15.726,2.41%,23.80
12,2026-03-05,134.056,11650.67,103.96,-30.19%,28.95%,15.726,5.48%,22.86
13,2026-03-04,134.430,15288.74,105.46,-30.43%,27.47%,15.726,7.26%,23.19
14,2026-03-03,133.598,10519.44,108.37,-29.44%,23.28%,15.726,4.98%,23.83
15,2026-03-02,136.601,15813.22,112.51,-32.31%,21.42%,15.726,7.37%,24.74
16,2026-02-27,135.600,16292.89,108.50,-30.90%,24.97%,15.726,7.63%,23.86
17,2026-02-26,135.800,122746.81,113.96,-30.96%,19.16%,15.726,56.94%,25.06
18,2026-02-25,131.450,6528.18,71.45,-26.47%,83.98%,15.726,3.19%,22.92
19,2026-02-24,128.794,5606.95,67.36,-23.57%,91.19%,15.726,2.77%,21.61
20,2026-02-13,128.722,2649.17,69.20,-22.40%,86.01%,15.726,1.31%,22.20
21,2026-02-12,129.329,1779.92,69.55,-22.92%,85.96%,15.726,0.87%,22.31
22,2026-02-11,129.429,3489.91,70.01,-22.93%,84.87%,15.726,1.71%,22.46
23,2026-02-10,129.150,4653.14,69.51,-22.55%,85.79%,15.726,2.29%,22.30
24,2026-02-09,129.000,9357.93,68.89,-22.31%,87.25%,15.726,4.61%,22.10
25,2026-02-06,129.341,7257.71,69.23,-22.37%,86.82%,15.726,3.57%,22.21
26,2026-02-05,128.729,8761.48,70.79,-21.68%,81.84%,15.726,4.33%,22.71
27,2026-02-04,129.452,16925.13,72.41,-22.29%,78.77%,15.726,8.29%,23.23
28,2026-02-03,128.800,9680.72,70.82,-21.57%,81.86%,15.726,4.80%,22.72
29,2026-02-02,126.329,11762.23,69.23,-19.02%,82.47%,15.726,5.88%,22.21
30,2026-01-30,127.504,7435.64,70.51,-19.96%,80.83%,15.726,3.72%,22.62
