序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,139.994,40293.97,117.47,-42.78%,19.17%,29.983,9.62%,65.75
2,2026-04-20,140.600,135301.99,117.44,-43.18%,19.72%,29.983,32.15%,65.73
3,2026-04-17,135.000,14485.43,106.75,-36.68%,26.46%,29.984,3.56%,59.75
4,2026-04-16,135.642,21596.53,108.00,-37.19%,25.59%,29.984,5.38%,60.45
5,2026-04-15,132.910,25670.75,105.02,-34.03%,26.56%,29.984,6.43%,58.78
6,2026-04-14,132.033,22924.97,105.66,-32.89%,24.96%,29.984,5.81%,59.14
7,2026-04-13,130.823,27379.64,104.70,-31.37%,24.95%,29.984,6.97%,58.60
8,2026-04-10,131.080,40728.82,103.95,-31.20%,26.10%,29.984,10.40%,58.18
9,2026-04-09,129.812,30220.41,98.43,-29.63%,31.89%,29.984,7.76%,55.09
10,2026-04-08,128.279,25393.56,93.39,-27.74%,37.36%,29.984,6.63%,52.27
11,2026-04-07,123.990,9167.07,86.46,-22.52%,43.41%,29.984,2.46%,48.39
12,2026-04-03,123.375,13017.46,87.19,-21.35%,41.50%,29.984,3.51%,48.80
13,2026-04-02,123.550,8134.97,89.14,-21.47%,38.61%,29.984,2.19%,49.89
14,2026-04-01,124.753,19407.75,90.05,-22.80%,38.54%,29.984,5.23%,50.40
15,2026-03-31,122.302,15061.20,88.01,-19.76%,38.96%,29.984,4.06%,49.26
16,2026-03-30,123.930,13420.02,87.12,-21.62%,42.26%,29.984,3.61%,48.76
17,2026-03-27,126.100,17927.07,90.42,-23.82%,39.45%,29.984,4.75%,50.61
18,2026-03-26,126.526,28132.44,89.67,-24.18%,41.10%,29.984,7.41%,50.19
19,2026-03-25,127.429,58336.54,91.07,-25.07%,39.93%,29.984,15.30%,50.97
20,2026-03-24,122.376,14379.33,82.79,-19.23%,47.81%,29.984,3.96%,46.34
21,2026-03-23,120.621,15126.56,82.72,-17.05%,45.81%,29.984,4.18%,46.30
22,2026-03-20,121.786,11200.14,86.15,-18.20%,41.36%,29.984,3.04%,48.22
23,2026-03-19,122.228,10780.88,85.83,-18.63%,42.40%,29.984,2.93%,48.04
24,2026-03-18,124.995,11198.57,88.15,-21.67%,41.79%,29.984,3.01%,49.34
25,2026-03-17,124.500,12743.27,89.03,-21.03%,39.84%,29.984,3.39%,49.83
26,2026-03-16,125.371,10648.80,88.01,-21.89%,42.45%,29.984,2.86%,49.26
27,2026-03-13,124.501,11346.65,88.14,-20.67%,41.26%,29.984,3.02%,49.33
28,2026-03-12,126.020,9564.33,88.80,-22.21%,41.92%,29.984,2.51%,49.70
29,2026-03-11,129.010,6495.29,89.64,-25.19%,43.92%,29.984,1.68%,50.17
30,2026-03-10,128.846,15387.29,88.24,-24.92%,46.01%,29.984,4.01%,49.39
