序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,200.300,22343.37,176.46,-82.09%,13.51%,5.909,18.88%,46.69
2,2026-04-20,205.877,22472.48,185.07,-84.49%,11.24%,5.909,18.39%,48.97
3,2026-04-17,207.248,123167.18,189.80,-83.88%,9.20%,5.909,98.17%,50.22
4,2026-04-16,206.000,97653.10,175.09,-82.86%,17.65%,5.909,81.71%,46.33
5,2026-04-15,187.135,12766.79,159.18,-72.55%,17.56%,5.909,11.49%,42.12
6,2026-04-14,185.500,13240.91,161.75,-71.24%,14.68%,5.909,12.15%,42.80
7,2026-04-13,184.096,18426.85,161.45,-70.07%,14.03%,5.909,16.64%,42.72
8,2026-04-10,191.550,23806.07,161.07,-73.23%,18.92%,5.909,20.87%,42.62
9,2026-04-09,191.097,25630.57,162.13,-72.63%,17.87%,5.909,22.67%,42.90
10,2026-04-08,189.880,45581.21,160.51,-71.63%,18.30%,5.909,40.90%,42.47
11,2026-04-07,172.872,20090.79,149.66,-61.21%,15.51%,5.909,19.33%,39.60
12,2026-04-03,175.599,39530.85,151.17,-61.77%,16.16%,5.909,37.76%,40.00
13,2026-04-02,169.000,8103.98,150.42,-57.26%,12.36%,5.909,8.04%,39.80
14,2026-04-01,174.400,14808.73,152.68,-60.46%,14.22%,5.909,14.45%,40.40
15,2026-03-31,169.300,17072.50,150.27,-56.93%,12.67%,5.909,16.92%,39.76
16,2026-03-30,175.100,23628.39,158.73,-60.33%,10.31%,5.909,23.27%,42.00
17,2026-03-27,173.200,26178.50,150.57,-58.36%,15.03%,5.909,25.67%,39.84
18,2026-03-26,172.998,28936.14,150.27,-57.97%,15.13%,5.909,27.52%,39.76
19,2026-03-25,188.531,37477.32,166.97,-66.44%,12.91%,5.909,34.41%,44.18
20,2026-03-24,180.000,37423.82,155.86,-61.56%,15.49%,5.909,36.52%,41.24
21,2026-03-23,165.424,26842.35,145.09,-52.39%,14.02%,5.909,27.23%,38.39
22,2026-03-20,171.923,15424.88,148.64,-55.79%,15.66%,5.909,14.97%,39.33
23,2026-03-19,176.600,34469.30,154.01,-58.30%,14.67%,5.909,32.59%,40.75
24,2026-03-18,189.200,77533.98,168.59,-64.76%,12.22%,5.909,69.89%,44.61
25,2026-03-17,179.500,100694.71,162.81,-59.42%,10.25%,5.909,93.32%,43.08
26,2026-03-16,190.100,0.00,161.07,-64.64%,18.02%,5.909,0.00%,42.62
27,2026-03-13,190.100,0.00,161.07,-63.81%,18.02%,5.909,0.00%,42.62
28,2026-03-12,190.100,0.00,161.07,-63.54%,18.02%,5.909,0.00%,42.62
29,2026-03-11,190.100,0.00,161.07,-63.27%,18.02%,5.909,0.00%,42.62
30,2026-03-10,190.100,0.00,161.07,-63.00%,18.02%,5.909,0.00%,42.62
