序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-02-13,134.450,1917.97,81.12,-4.38%,65.75%,4.199,3.39%,14.52
2,2026-02-12,134.489,2003.32,82.24,-4.40%,63.54%,4.199,3.55%,14.72
3,2026-02-11,134.433,3312.19,83.13,-4.33%,61.72%,4.199,5.87%,14.88
4,2026-02-10,133.942,3598.16,84.47,-3.85%,58.57%,4.199,6.40%,15.12
5,2026-02-09,133.419,3474.83,84.97,-3.34%,57.02%,4.199,6.20%,15.21
6,2026-02-06,133.100,2490.98,83.52,-3.00%,59.36%,4.199,4.46%,14.95
7,2026-02-05,132.785,2427.33,83.35,-2.70%,59.31%,4.199,4.35%,14.92
8,2026-02-04,132.818,2667.15,83.35,-2.72%,59.35%,4.199,4.78%,14.92
9,2026-02-03,133.026,4698.75,84.47,-2.90%,57.48%,4.199,8.43%,15.12
10,2026-02-02,132.120,4272.99,81.84,-2.04%,61.43%,4.199,7.67%,14.65
11,2026-01-30,132.450,3269.72,79.22,-2.33%,67.20%,4.199,5.87%,14.18
12,2026-01-29,132.800,3904.19,78.83,-2.64%,68.47%,4.199,6.99%,14.11
13,2026-01-28,132.600,2736.33,77.82,-2.45%,70.39%,4.199,4.92%,13.93
14,2026-01-27,132.010,5393.24,80.00,-1.90%,65.01%,4.199,9.76%,14.32
15,2026-01-26,131.561,4451.61,80.84,-1.47%,62.75%,4.199,8.05%,14.47
16,2026-01-23,131.734,3582.13,81.79,-1.62%,61.07%,4.199,6.47%,14.64
17,2026-01-22,131.541,3236.69,83.07,-1.44%,58.34%,4.199,5.87%,14.87
18,2026-01-21,131.380,5351.57,84.58,-1.28%,55.33%,4.199,9.69%,15.14
19,2026-01-20,131.299,9714.23,84.64,-1.20%,55.13%,4.199,17.60%,15.15
20,2026-01-19,130.800,4639.97,81.62,-0.74%,60.25%,4.199,8.45%,14.61
21,2026-01-16,130.478,2561.17,77.32,-0.44%,68.75%,4.199,4.67%,13.84
22,2026-01-15,130.550,3267.12,78.21,-0.50%,66.92%,4.199,5.96%,14.00
23,2026-01-14,130.799,5909.88,79.94,-0.73%,63.61%,4.199,10.75%,14.31
24,2026-01-13,130.300,3952.82,77.65,-0.27%,67.80%,4.199,7.20%,13.90
25,2026-01-12,131.199,3735.39,79.05,-1.08%,65.97%,4.199,6.79%,14.15
26,2026-01-09,130.536,3966.06,77.32,-0.48%,68.83%,4.199,7.23%,13.84
27,2026-01-08,130.728,2663.44,78.77,-0.65%,65.96%,4.199,4.85%,14.10
28,2026-01-07,130.629,3746.84,79.05,-0.56%,65.25%,4.199,6.83%,14.15
29,2026-01-06,130.485,4099.28,78.55,-0.43%,66.12%,4.199,7.49%,14.06
30,2026-01-05,129.929,5174.97,77.49,0.06%,67.68%,4.199,9.49%,13.87
