序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-03-20,132.445,10442.35,129.76,-22.82%,2.07%,11.576,6.76%,18.14
2,2026-03-19,133.333,10185.52,127.90,-23.48%,4.25%,11.576,6.62%,17.88
3,2026-03-18,133.951,7265.60,130.19,-23.91%,2.89%,11.576,4.72%,18.20
4,2026-03-17,132.994,8960.79,128.61,-23.03%,3.41%,11.576,5.79%,17.98
5,2026-03-16,135.058,8755.21,131.76,-24.63%,2.50%,11.576,5.62%,18.42
6,2026-03-13,136.100,12241.60,134.98,-25.18%,0.83%,11.576,7.72%,18.87
7,2026-03-12,136.200,8087.44,131.40,-25.17%,3.65%,11.576,5.09%,18.37
8,2026-03-11,137.708,6713.98,129.61,-26.23%,6.24%,11.576,4.20%,18.12
9,2026-03-10,137.634,7762.57,128.11,-26.08%,7.43%,11.576,4.88%,17.91
10,2026-03-09,136.700,6997.07,127.33,-25.28%,7.36%,11.576,4.44%,17.80
11,2026-03-06,137.000,9006.51,127.11,-25.24%,7.78%,11.576,5.70%,17.77
12,2026-03-05,134.903,6499.29,123.32,-23.56%,9.39%,11.576,4.13%,17.24
13,2026-03-04,134.588,8159.75,121.53,-23.23%,10.74%,11.576,5.25%,16.99
14,2026-03-03,134.499,6333.22,121.96,-23.09%,10.28%,11.576,4.04%,17.05
15,2026-03-02,136.034,5328.06,124.61,-24.17%,9.17%,11.576,3.38%,17.42
16,2026-02-27,136.864,6570.75,126.04,-24.54%,8.59%,11.576,4.15%,17.62
17,2026-02-26,136.500,4786.58,125.39,-24.19%,8.86%,11.576,3.03%,17.53
18,2026-02-25,136.933,5103.32,123.61,-24.42%,10.78%,11.576,3.20%,17.28
19,2026-02-24,137.311,5713.86,122.75,-24.61%,11.87%,11.576,3.60%,17.16
20,2026-02-13,136.017,3971.15,122.46,-22.82%,11.07%,11.576,2.51%,17.12
21,2026-02-12,136.800,2934.58,122.82,-23.29%,11.38%,11.576,1.85%,17.17
22,2026-02-11,136.869,4305.68,123.61,-23.27%,10.73%,11.576,2.72%,17.28
23,2026-02-10,135.899,4269.39,122.10,-22.51%,11.30%,11.576,2.71%,17.07
24,2026-02-09,136.818,5800.28,123.18,-23.08%,11.08%,11.576,3.67%,17.22
25,2026-02-06,135.432,5857.64,121.82,-21.90%,11.18%,11.576,3.74%,17.03
26,2026-02-05,134.416,4956.31,121.53,-21.11%,10.60%,11.576,3.19%,16.99
27,2026-02-04,135.016,5903.90,124.18,-21.47%,8.73%,11.576,3.76%,17.36
28,2026-02-03,135.600,10487.54,122.39,-21.81%,10.79%,11.576,6.76%,17.11
29,2026-02-02,132.400,8189.65,120.24,-19.48%,10.11%,11.576,5.32%,16.81
30,2026-01-30,133.761,8144.19,120.74,-20.26%,10.78%,11.576,5.24%,16.88
