序号,日期,收盘价,成交额(万元),转股价值,到期税前收益率,转股溢价率,剩余规模(亿元),换手率,正股价
1,2026-04-21,131.259,4701.30,100.90,-24.63%,30.09%,7.179,4.98%,18.04
2,2026-04-20,131.928,7287.81,101.79,-25.17%,29.61%,7.179,7.68%,18.20
3,2026-04-17,132.691,5373.42,101.12,-25.58%,31.22%,7.179,5.66%,18.08
4,2026-04-16,132.846,3850.27,102.35,-25.62%,29.80%,7.179,4.05%,18.30
5,2026-04-15,131.732,3092.79,101.45,-24.48%,29.84%,7.179,3.26%,18.14
6,2026-04-14,131.736,3288.15,101.23,-24.38%,30.13%,7.179,3.49%,18.10
7,2026-04-13,131.491,4026.41,100.34,-24.05%,31.05%,7.179,4.28%,17.94
8,2026-04-10,132.106,3081.99,101.96,-24.33%,29.57%,7.179,3.23%,18.23
9,2026-04-09,133.362,3840.35,103.41,-25.37%,28.96%,7.179,3.99%,18.49
10,2026-04-08,134.444,7105.77,105.09,-26.23%,27.93%,7.179,7.39%,18.79
11,2026-04-07,130.366,3278.19,100.95,-22.45%,29.14%,7.179,3.51%,18.05
12,2026-04-03,129.698,2458.60,99.55,-21.49%,30.28%,7.179,2.64%,17.80
13,2026-04-02,129.501,3030.57,101.17,-21.22%,28.00%,7.179,3.26%,18.09
14,2026-04-01,131.165,5256.64,101.79,-22.65%,28.86%,7.179,5.60%,18.20
15,2026-03-31,128.800,5180.00,100.56,-20.41%,28.08%,7.179,5.60%,17.98
16,2026-03-30,128.800,5998.72,101.23,-20.34%,27.23%,7.179,6.47%,18.10
17,2026-03-27,128.936,3987.67,100.90,-20.23%,27.79%,7.179,4.29%,18.04
18,2026-03-26,129.500,4984.00,101.01,-20.66%,28.21%,7.179,5.35%,18.06
19,2026-03-25,131.000,6002.90,101.45,-21.92%,29.12%,7.179,6.37%,18.14
20,2026-03-24,130.408,6301.77,100.62,-21.32%,29.61%,7.179,6.79%,17.99
21,2026-03-23,127.897,8051.00,99.83,-18.99%,28.11%,7.179,8.75%,17.85
22,2026-03-20,130.219,8387.33,104.64,-20.84%,24.44%,7.179,8.95%,18.71
23,2026-03-19,129.100,7207.11,100.28,-19.78%,28.74%,7.179,7.77%,17.93
24,2026-03-18,131.694,6816.64,101.68,-21.94%,29.52%,7.179,7.26%,18.18
25,2026-03-17,130.000,5125.10,101.01,-20.42%,28.70%,7.179,5.45%,18.06
26,2026-03-16,132.688,6827.54,100.17,-22.61%,32.47%,7.179,7.25%,17.91
27,2026-03-13,132.228,6420.03,100.17,-21.99%,32.01%,7.179,6.74%,17.91
28,2026-03-12,132.720,12266.50,100.95,-22.32%,31.47%,7.179,12.73%,18.05
29,2026-03-11,138.200,3203.82,111.19,-26.50%,24.30%,7.179,3.21%,19.88
30,2026-03-10,139.521,3821.87,111.63,-27.39%,24.98%,7.179,3.83%,19.96
